Resume Text,Category
Cloud Engineer skilled in AWS Azure Docker Kubernetes Terraform and Linux REST API GitHub,Cloud Engineer
Developed ML models for classification regression NLP and computer vision software development lifecycle,Machine Learning Engineer
Cybersecurity professional working with firewalls IDS vulnerability scanning and Linux deployment and version control,Cybersecurity Analyst
Cybersecurity analyst skilled in ethical hacking network security and threat analysis problem solving and debugging,Cybersecurity Analyst
Python OOP scripting REST services unit testing Docker Linux software development lifecycle,Python Developer
Machine learning engineer using Python Scikit-learn TensorFlow and cloud deployment problem solving and debugging,Machine Learning Engineer
Django REST Framework developer with JWT authentication and API integration software development lifecycle,Django Developer
Designed scalable cloud environments using AWS infrastructure automation and security problem solving and debugging,Cloud Engineer
Analyzed datasets and developed predictive solutions using statistics and Python problem solving and debugging,Data Scientist
Machine learning engineer using Python Scikit-learn TensorFlow and cloud deployment problem solving and debugging,Machine Learning Engineer
Java developer skilled in Spring Boot Hibernate Maven MySQL REST API REST API GitHub,Java Developer
Experienced with MySQL Oracle SQL database optimization and schema design deployment and version control,Database Developer
Analyzed business data using Excel SQL Power BI dashboards and reports unit testing Agile,Data Analyst
Experienced in Android Studio Java Kotlin API integration and mobile UI development deployment and version control,Android Developer
Experienced with React TypeScript Redux Tailwind CSS and API integration deployment and version control,React Developer
Experienced with deep learning TensorFlow PyTorch APIs Docker and model serving deployment and version control,Machine Learning Engineer
Designed scalable cloud environments using AWS infrastructure automation and security problem solving and debugging,Cloud Engineer
Developed Python web applications with Flask Django Redis and MySQL problem solving and debugging,Python Developer
Experienced with React TypeScript Redux Tailwind CSS and API integration deployment and version control,React Developer
Built predictive models using Python machine learning Pandas and statistical analysis unit testing Agile,Data Scientist
Built interactive dashboards using Power BI Excel SQL and Tableau software development lifecycle,Data Analyst
Designed scalable cloud environments using AWS infrastructure automation and security problem solving and debugging,Cloud Engineer
Data Scientist skilled in Python Pandas NumPy Scikit-learn statistics and visualization REST API GitHub,Data Scientist
Data Analyst skilled in SQL Excel Power BI Tableau and data visualization REST API GitHub,Data Analyst
Mobile developer skilled in Android SDK Kotlin Java REST API and debugging problem solving and debugging,Android Developer
Experienced with deep learning TensorFlow PyTorch APIs Docker and model serving deployment and version control,Machine Learning Engineer
Built Android applications using Kotlin Firebase SQLite and Material Design unit testing Agile,Android Developer
DevOps engineer working with Terraform AWS Docker Kubernetes and GitHub Actions software development lifecycle,DevOps Engineer
Data Scientist skilled in Python Pandas NumPy Scikit-learn statistics and visualization REST API GitHub,Data Scientist
Designed scalable cloud environments using AWS infrastructure automation and security problem solving and debugging,Cloud Engineer
Experienced in Android Studio Java Kotlin API integration and mobile UI development deployment and version control,Android Developer
Designed user interfaces using Figma wireframing prototyping and usability testing unit testing Agile,UI UX Designer
Managed cloud infrastructure using AWS EC2 S3 IAM VPC and Terraform unit testing Agile,Cloud Engineer
Experienced with deep learning TensorFlow PyTorch APIs Docker and model serving deployment and version control,Machine Learning Engineer
Experienced in threat detection incident response penetration testing and security tools unit testing Agile,Cybersecurity Analyst
Analyzed datasets and developed predictive solutions using statistics and Python problem solving and debugging,Data Scientist
DevOps Engineer skilled in AWS Docker Kubernetes Jenkins Linux and CI/CD REST API GitHub,DevOps Engineer
React developer skilled in JavaScript TypeScript Redux React Router and REST APIs REST API GitHub,React Developer
Python OOP scripting REST services unit testing Docker Linux software development lifecycle,Python Developer
Data analyst with skills in SQL spreadsheets KPIs reporting and visualization problem solving and debugging,Data Analyst
Python developer experienced with FastAPI Flask APIs SQL Git GitHub unit testing Agile,Python Developer
Created modern user interfaces using HTML CSS JavaScript and responsive layouts software development lifecycle,Frontend Developer
Managed cloud infrastructure using AWS EC2 S3 IAM VPC and Terraform unit testing Agile,Cloud Engineer
